[Discord] Webhook configured -- notifications enabled
Token indices sequence length is longer than the specified maximum sequence length for this model (3479 > 1024). Running this sequence through the model will result in indexing errors
/home/ubuntu/Development/qllm-private/.venv/lib/python3.9/site-packages/torch/_inductor/lowering.py:7095: UserWarning: 
Online softmax is disabled on the fly since Inductor decides to
split the reduction. Cut an issue to PyTorch if this is an
important use case and you want to speed it up with online
softmax.

  warnings.warn(
/home/ubuntu/Development/qllm-private/.venv/lib/python3.9/site-packages/torch/_inductor/lowering.py:7095: UserWarning: 
Online softmax is disabled on the fly since Inductor decides to
split the reduction. Cut an issue to PyTorch if this is an
important use case and you want to speed it up with online
softmax.

  warnings.warn(
Wall clock start: 2026-07-17 07:01:33
============================================================
  V11: PAM with new memory dynamics
  Preset: v11_e3_k3_chat | Stage: pretrain | Dataset: pretrain_mix
============================================================

Config: {'vocab_size': 50261, 'dim': 384, 'n_heads': 6, 'head_dim': 64, 'n_layers': 16, 'expand': 3, 'dropout': 0.1, 'max_seq_len': 2048, 'use_learned_pos': False, 'use_rope': True, 'use_gsp': True, 'fused_qkv': True, 'qk_norm': False, 'tie_weights': True, 'gradient_checkpointing': False, 'activation': 'swish', 'chunk_size': 256, 'decay_mode': 'head', 'write_mode': 'additive', 'n_states': 3, 'delta_chunk': 64, 'state_dt_spread': 2.0, 'base_dt_bias': -4.0, 'gate_content_aware': True, 'protect_gate_bias': -3.0, 'routing_content_aware': True, 'state_compete': True, 'phase_init': 'zero', 'route_balance_lambda': 0.01, 'aux_loss_weight': 1.0, 'fused_e3': True, 'recompute_pam_chunks': False, 'gamma_floor': 0.0, 'gate_surprisal_lambda': 0.3, 'gate_surprisal_tau': 0.5, 'gate_surprisal_sign': 1.0, 'vault_state': True, 'vault_state_idx': 0, 'write_phase_address': False}
Memory dynamics: decay_mode=head, write_mode=additive, n_states=3, chunk_size=256
Batch size: 16, Epochs: 9999, LR: 0.0001
Token budget: 300,000,000

Loading pretrain_mix (seq_len=2048)...
Streaming pretrain blend: sources=['fineweb', 'recall'] weights=[93.0, 3.0] edu>=3 budget=300000000 vocab=50261 holdout_pct=5 exclude_holdout=True mix_seed=42 warmup=0 skips={'fineweb': 0, 'recall': 0}
[cache] Pretrain holdout val from .cache/v7_tokens/pretrain_holdout_v1_v50261_t500000_e3_p5.pt (500,000 tokens)
[cache] Loaded WikiText-103 validation from .cache/v7_tokens/wikitext103_validation_v2_full_sl2048.pt (248,461 tokens)
Val chunks: 121
Val: in-distro holdout (16 batches), WikiText secondary (8 batches)
Train batches: streaming, Val batches: 16

Model parameters: {'embedding (tied)': 38600448, 'blocks': 61981616, 'norms': 768, 'lm_head': 296064, 'total': 100878896}
Total: 100,878,896 (100.9M)
Param groups: 228 tensors (100,826,880) with wd, 197 tensors (52,016) without
Compiling model (mode=default)...
  fused_ce: compiled _hidden_to_lm (logits never materialized)

Training on cuda
Parameters: {'embedding (tied)': 38600448, 'blocks': 61981616, 'norms': 768, 'lm_head': 296064, 'total': 100878896}
Total: 100,878,896 (100.9M)
Epochs: 1..9999, Batches/epoch: stream
Periodic checkpoint: every 2000 steps -> latest.pt


============================================================
Epoch 1/9999
============================================================
[fineweb] local parquet stream: 15 shards under data/fineweb-edu/sample-10BT
  [1] 0 loss=10.8998 ppl=54167.8 lr=2.00e-07 | 56 tok/s (avg 56) ETA n/a | GPU 1.4/39.7GB | gtok=32768
  [1] 50 loss=10.6428 ppl=41889.7 lr=1.02e-05 | 31750 tok/s (avg 2630) ETA n/a | GPU 1.4/40.4GB | gtok=1671168
  [1] 100 loss=10.0508 ppl=23173.5 lr=2.02e-05 | 31805 tok/s (avg 4818) ETA n/a | GPU 1.4/40.4GB | gtok=3309568
  [1] 150 loss=9.0375 ppl=8412.5 lr=3.02e-05 | 31791 tok/s (avg 6700) ETA n/a | GPU 1.4/40.4GB | gtok=4947968
  [1] 200 loss=8.3310 ppl=4150.6 lr=4.02e-05 | 31875 tok/s (avg 8339) ETA n/a | GPU 1.4/40.4GB | gtok=6586368
  [1] 250 loss=7.7056 ppl=2220.7 lr=5.02e-05 | 31911 tok/s (avg 9777) ETA n/a | GPU 1.4/40.4GB | gtok=8224768
  [1] 300 loss=7.3900 ppl=1619.7 lr=6.02e-05 | 31935 tok/s (avg 11051) ETA n/a | GPU 1.4/40.4GB | gtok=9863168
  [1] 350 loss=7.1698 ppl=1299.6 lr=7.02e-05 | 31936 tok/s (avg 12186) ETA n/a | GPU 1.4/40.4GB | gtok=11501568
  [1] 400 loss=7.1431 ppl=1265.3 lr=8.02e-05 | 31928 tok/s (avg 13204) ETA n/a | GPU 1.4/40.4GB | gtok=13139968
  [1] 450 loss=7.1192 ppl=1235.4 lr=9.02e-05 | 31930 tok/s (avg 14123) ETA n/a | GPU 1.4/40.4GB | gtok=14778368
  [1] 500 loss=7.0865 ppl=1195.8 lr=1.00e-04 | 31938 tok/s (avg 14955) ETA n/a | GPU 1.4/40.4GB | gtok=16416768
  [1] 550 loss=6.9414 ppl=1034.2 lr=1.00e-04 | 31922 tok/s (avg 15713) ETA n/a | GPU 1.4/40.4GB | gtok=18055168
  [1] 600 loss=6.5258 ppl=682.5 lr=1.00e-04 | 31879 tok/s (avg 16405) ETA n/a | GPU 1.4/40.4GB | gtok=19693568
  [1] 650 loss=6.6471 ppl=770.5 lr=9.99e-05 | 31862 tok/s (avg 17040) ETA n/a | GPU 1.4/40.4GB | gtok=21331968
  [1] 700 loss=6.4777 ppl=650.5 lr=9.99e-05 | 31827 tok/s (avg 17624) ETA n/a | GPU 1.4/40.4GB | gtok=22970368
  [1] 750 loss=6.3273 ppl=559.6 lr=9.98e-05 | 28610 tok/s (avg 18086) ETA n/a | GPU 1.4/40.4GB | gtok=24608768
  [1] 800 loss=6.2971 ppl=543.0 lr=9.97e-05 | 31680 tok/s (avg 18584) ETA n/a | GPU 1.4/40.4GB | gtok=26247168
  [1] 850 loss=6.0198 ppl=411.5 lr=9.96e-05 | 31747 tok/s (avg 19048) ETA n/a | GPU 1.4/40.4GB | gtok=27885568
  [1] 900 loss=6.2152 ppl=500.3 lr=9.95e-05 | 31722 tok/s (avg 19480) ETA n/a | GPU 1.4/40.4GB | gtok=29523968
  [1] 950 loss=6.1642 ppl=475.4 lr=9.94e-05 | 31762 tok/s (avg 19884) ETA n/a | GPU 1.4/40.4GB | gtok=31162368
  [1] 1000 loss=6.1814 ppl=483.7 lr=9.93e-05 | 31777 tok/s (avg 20263) ETA n/a | GPU 1.4/40.4GB | gtok=32800768
  [1] 1050 loss=5.8964 ppl=363.7 lr=9.91e-05 | 31805 tok/s (avg 20619) ETA n/a | GPU 1.4/40.4GB | gtok=34439168
